# name         mass[kg]        x[m]           y[m]           z[m]        vx[m/s]        vy[m/s]        vz[m/s]
Planet_016    1.295046e+22  4.711656e+11  1.263126e+12 -4.872753e+09 -9.295636e+03  3.467416e+03 -2.280701e+01
Planet_017    2.374940e+20 -3.810708e+12  2.083827e+12 -7.827583e+09 -2.652007e+03 -4.849743e+03 -1.449386e+01
Planet_018    1.639858e+23 -8.116570e+11  3.621861e+11 -9.828776e+09 -4.979217e+03 -1.115840e+04 -4.265160e+01
Planet_019    3.760453e+21 -5.722388e+12  3.930739e+12  9.706963e+09 -2.475418e+03 -3.603724e+03 -2.748926e+00
Planet_020    6.835458e+23 -3.815202e+12  6.466860e+12 -3.032660e+09 -3.620828e+03 -2.136152e+03  4.696861e+01
Planet_021    1.186620e+24 -7.719718e+12  4.304929e+12  4.354358e+09 -1.887135e+03 -3.384062e+03 -1.278904e+01
Planet_022    2.202700e+20  2.071114e+12  1.111245e+12  7.578179e+09 -3.552488e+03  6.621051e+03  1.869612e+00
Planet_023    3.125641e+25  3.264392e+12  4.271212e+12  3.118634e+09 -3.947469e+03  3.016963e+03  2.761330e+01
Planet_024    1.266546e+23  2.727368e+12  2.778219e+12  9.498591e+09 -4.166211e+03  4.089955e+03  1.296176e+01
Planet_025    6.547790e+20 -6.059472e+12  5.258398e+12 -8.758885e+09 -2.665549e+03 -3.071623e+03  1.684471e+01
Planet_026    7.631939e+25  2.410403e+12 -2.532253e+12  4.803290e+09  4.462483e+03  4.247752e+03  1.688344e+01
Planet_027    1.347549e+23  7.762008e+11 -2.937948e+12 -9.434839e+09  6.389049e+03  1.687976e+03  3.713947e+01
Planet_028    1.873900e+23  3.346308e+12  3.911624e+12  2.450214e+06 -3.858119e+03  3.300536e+03 -1.309995e+01
Planet_029    1.090960e+23 -4.791145e+12  7.541166e+12 -4.564972e+09 -3.252916e+03 -2.066682e+03 -2.967279e+01
Planet_030    3.035085e+20 -2.584106e+12  1.923240e+12  8.765250e+09 -3.832059e+03 -5.148836e+03 -3.029051e+01
Planet_031    1.462109e+21  1.994911e+12 -5.936770e+10  7.816174e+09  2.425561e+02  8.150521e+03  6.462449e+00
Planet_032    1.683031e+23 -3.482721e+11  7.774741e+11 -3.177115e+09 -1.139008e+04 -5.102225e+03  4.293743e+01
Planet_033    8.012245e+22 -7.904494e+12 -1.724330e+12  5.721601e+09  8.631812e+02 -3.956906e+03  2.305603e+01
Planet_034    2.935385e+23 -3.343909e+11  7.762568e+12  6.655541e+09 -4.128848e+03 -1.778598e+02 -1.388004e+00
Planet_035    5.710017e+20  6.401609e+11  3.906635e+12  2.515106e+07 -5.713513e+03  9.362452e+02  1.347828e+01
Planet_036    9.265024e+22  2.262672e+12 -8.693143e+12  2.183156e+09  3.719596e+03  9.681454e+02  1.957822e+01
Planet_037    1.482677e+22  1.158208e+12  3.960179e+11  7.232941e+09 -3.368654e+03  9.852085e+03  1.689473e+01
Planet_038    1.143404e+22 -2.655227e+12  3.264764e+12  5.405719e+09 -4.356556e+03 -3.543180e+03  2.537140e+01
Planet_039    2.369480e+20  3.461935e+12  7.438843e+12  9.544609e+09 -3.646079e+03  1.696835e+03 -8.527264e+00
Planet_040    2.260387e+23  2.393577e+12 -4.395827e+12 -6.502426e+09  4.522074e+03  2.462320e+03 -1.314828e+01
Planet_041    8.294983e+24  6.625880e+12  6.406956e+12 -4.691679e+09 -2.637603e+03  2.727729e+03 -1.777660e+01
Planet_042    4.413625e+20  8.950268e+12  3.008170e+12 -2.231637e+09 -1.194328e+03  3.553507e+03  7.353032e+00
Planet_043    3.939907e+21 -4.356065e+12  8.589896e+12  2.936717e+09 -3.310527e+03 -1.678818e+03 -6.077834e+00
Planet_044    1.013853e+23  5.698097e+10  5.715356e+12  3.809365e+09 -4.818163e+03  4.803614e+01  4.054632e+01
Planet_045    1.316659e+20  2.641006e+12 -7.698997e+11 -6.355883e+09  1.943786e+03  6.667818e+03  1.602047e+01
Planet_046    9.745528e+25 -7.263524e+12  1.042053e+12 -9.144799e+09 -6.039048e+02 -4.209455e+03 -3.584482e+01
Planet_047    1.526280e+25  6.760286e+12 -5.483805e+12 -5.582860e+09  2.459683e+03  3.032230e+03 -3.659368e+00
Planet_048    5.398355e+21  6.841415e+12 -5.841380e+12  5.485949e+09  2.493918e+03  2.920872e+03  8.010483e+00
Planet_049    1.342567e+24 -4.212983e+12  8.862774e+12 -2.269983e+09 -3.321178e+03 -1.578746e+03 -4.373644e+01
Planet_050    3.546981e+22  1.248469e+12  2.205524e+12 -1.678866e+09 -6.297138e+03  3.564587e+03  1.070585e+01
Planet_051    1.408099e+23  2.535413e+12  4.273016e+12 -9.067579e+09 -4.444459e+03  2.637140e+03  2.638567e+01
Planet_052    1.563290e+25  4.948788e+12 -7.837352e+12 -3.944944e+09  3.199298e+03  2.020152e+03 -3.260846e+00
Planet_053    1.861093e+23  2.364633e+12  1.546026e+12 -1.145752e+09 -3.750431e+03  5.736253e+03 -2.207006e+01
Planet_054    4.328661e+25  1.820586e+12 -7.090642e+11 -8.644502e+09  2.990909e+03  7.679429e+03 -9.358704e+00
Planet_055    3.716870e+24  6.068747e+12  5.081697e+12  1.400153e+09 -2.628670e+03  3.139253e+03 -6.398827e+00
Planet_056    1.861145e+21 -3.562070e+12  1.518627e+11 -6.110802e+09 -2.598612e+02 -6.095267e+03 -2.586885e+01
Planet_057    3.654506e+25  3.179446e+11 -2.017061e+11 -8.531202e+09  1.005673e+04  1.585219e+04 -4.890439e+01
Planet_058    4.454517e+25 -6.279270e+12 -1.907063e+12 -9.163166e+09  1.306769e+03 -4.302717e+03  2.307693e+01
Planet_059    1.304871e+21 -8.082871e+12  3.457815e+12 -4.172337e+09 -1.528086e+03 -3.572001e+03 -3.872805e+01
Planet_060    1.431521e+20  2.925264e+12 -6.038594e+12 -5.759778e+09  4.002250e+03  1.938802e+03 -1.384672e+01
Planet_061    9.430364e+23  2.399079e+11  1.510663e+12 -5.559006e+09 -9.198960e+03  1.460884e+03 -6.539679e+00
Planet_062    9.585180e+22 -4.320902e+12  3.570592e+12  9.673417e+09 -3.099403e+03 -3.750699e+03 -4.574054e+01
Planet_063    5.699973e+20 -1.639932e+11 -1.383401e+12  8.252548e+09  9.692059e+03 -1.148931e+03 -3.989561e+00
Planet_064    1.334239e+23 -8.169014e+12 -2.756810e+12 -9.651549e+09  1.254460e+03 -3.717233e+03 -2.112434e+01
Planet_065    9.510490e+24  1.967482e+12 -8.277660e+11 -7.885461e+09  3.057682e+03  7.267674e+03  2.530097e+01
Planet_066    1.029132e+24 -2.687039e+12  5.284750e+12 -8.344591e+09 -4.217231e+03 -2.144257e+03  4.592257e+01
Planet_067    1.282754e+25  1.262735e+12  1.281068e+12 -4.967168e+08 -6.116993e+03  6.029456e+03 -4.946847e+01
Planet_068    7.558839e+20  6.756810e+12  4.071206e+12 -9.354178e+09 -2.116717e+03  3.513027e+03 -4.239370e+00
Planet_069    8.131764e+20 -4.955450e+12 -7.951988e+12 -8.807491e+09  3.193928e+03 -1.990364e+03 -3.866541e+00
Planet_070    5.450816e+25 -4.435901e+11 -7.874338e+11 -2.821342e+09  1.055731e+04 -5.947314e+03  3.197005e+01
Planet_071    1.070326e+24  7.619963e+11  8.133640e+12 -1.373983e+09 -4.012792e+03  3.759366e+02 -4.105969e+01
Planet_072    5.264462e+24 -4.504763e+10  8.523300e+10 -1.985768e+09 -3.280144e+04 -1.733633e+04  3.146522e+01
Planet_073    5.350666e+21  5.333240e+11  2.292119e+11  8.495552e+09 -5.970033e+03  1.389091e+04 -3.748856e+01
Planet_074    4.022759e+24  1.728518e+12 -7.735680e+12  2.093872e+09  3.993157e+03  8.922605e+02  3.595978e+01
Planet_075    8.066234e+25 -7.101180e+11  8.501897e+12 -1.582559e+09 -3.930186e+03 -3.282674e+02 -1.322551e+01
Planet_076    4.129739e+23  3.568102e+12 -5.145098e+12  7.536213e+09  3.783001e+03  2.623494e+03 -1.501447e+01
Planet_077    3.573631e+24  6.901158e+12  1.425287e+11 -2.989152e+09 -9.053489e+01  4.383647e+03  1.466040e+01
Planet_078    4.659177e+22 -1.517404e+11 -7.852426e+11  2.200189e+09  1.264713e+04 -2.443935e+03 -3.953818e+01
Planet_079    6.448123e+23 -1.657361e+11 -5.961399e+12 -6.025491e+09  4.715304e+03 -1.310928e+02 -4.293915e+01
Planet_080    5.009536e+21 -1.292099e+12  1.596966e+12  5.560412e+09 -6.248283e+03 -5.055461e+03  3.903161e+01
Planet_081    2.356808e+24  5.091540e+12  8.409798e+12 -9.465703e+09 -3.142858e+03  1.902779e+03  2.643725e+01
Planet_082    1.559986e+22 -4.217433e+12 -7.961227e+12  5.601995e+09  3.391387e+03 -1.796576e+03 -3.991867e+01
Planet_083    2.272891e+25 -7.912662e+12 -6.113302e+12 -4.590993e+09  2.227244e+03 -2.882800e+03 -4.264079e+01
Planet_084    2.913977e+22 -1.733301e+10  5.684893e+11 -7.398176e+09 -1.526763e+04 -4.655040e+02  1.210783e+01
Planet_085    1.620348e+23 -4.901601e+12 -1.720165e+12 -7.612440e+09  1.673662e+03 -4.769092e+03  4.751612e+01
Planet_086    3.735570e+24  1.004467e+12 -3.141905e+12  2.759720e+09  6.041451e+03  1.931451e+03  1.579475e+01
Planet_087    4.780484e+20  4.142969e+11  4.376071e+12 -8.128620e+09 -5.469994e+03  5.178622e+02 -3.990738e+01
Planet_088    2.036024e+25  4.001836e+12 -6.547631e+12  6.352337e+09  3.548213e+03  2.168627e+03 -1.412315e+01
Planet_089    1.004825e+20  2.880991e+12 -6.094568e+12 -7.353915e+09  4.011178e+03  1.896142e+03 -2.903442e+01
Planet_090    1.210722e+25  3.246310e+12 -8.563023e+12 -7.407153e+09  3.559437e+03  1.349411e+03 -3.253483e+01
Planet_091    9.298342e+24  1.312216e+12  2.322482e+12  7.678793e+09 -6.140708e+03  3.469537e+03 -4.350815e+01
Planet_092    2.573574e+23  6.129352e+10 -2.312652e+11 -2.126227e+09  2.276503e+04  6.033544e+03  1.381098e+01
Planet_093    3.843072e+23  2.064788e+12  5.029057e+12 -3.793351e+09 -4.570370e+03  1.876464e+03  2.842863e+01
Planet_094    5.120472e+21  3.348611e+12  4.800312e+11 -7.094670e+09 -8.887553e+02  6.199797e+03  4.611734e+01
Planet_095    1.572566e+25 -4.269802e+12  6.723649e+10 -1.545558e+09 -8.777040e+01 -5.573793e+03  3.006351e+01
Planet_096    2.427076e+25 -7.751789e+11 -1.331161e+12  9.975934e+08  8.020613e+03 -4.670667e+03 -4.372690e+01
Planet_097    7.999207e+24  2.135080e+12  5.374783e+12  1.386880e+09 -4.451741e+03  1.768411e+03 -6.597296e+00
Planet_098    1.494378e+25 -3.540210e+12  4.009097e+12  8.896695e+09 -3.733703e+03 -3.297025e+03 -4.103091e+01
Planet_099    1.539614e+20 -4.179995e+11 -9.324980e+10 -3.770823e+09  3.832657e+03 -1.718018e+04  1.752073e+01
